Date,Districts
25-1-2021,"['Karnataka-Chitradurga.csv', 'Mizoram-Saiha.csv', 'Chhattisgarh-Narayanpur.csv', 'Chhattisgarh-Kabeerdham.csv', 'Arunachal Pradesh-Upper Siang.csv', 'Chhattisgarh-Raigarh.csv', 'Meghalaya-South Garo Hills.csv', 'Kerala-Thrissur.csv']"
26-1-2021,"['Mizoram-Serchhip.csv', 'Karnataka-Chitradurga.csv', 'Maharashtra-Gadchiroli.csv', 'Mizoram-Lunglei.csv', 'Chhattisgarh-Dhamtari.csv']"
27-1-2021,"['Chhattisgarh-Dakshin Bastar Dantewada.csv', 'Chhattisgarh-Narayanpur.csv', 'Mizoram-Saiha.csv', 'Mizoram-Kolasib.csv', 'Chhattisgarh-Dhamtari.csv', 'Mizoram-Mamit.csv']"
28-1-2021,"['Chhattisgarh-Bastar.csv', 'Chhattisgarh-Narayanpur.csv', 'Mizoram-Kolasib.csv', 'Puducherry-Mahe.csv', 'Mizoram-Mamit.csv']"
29-1-2021,"['Chhattisgarh-Bastar.csv', 'Mizoram-Serchhip.csv', 'Chhattisgarh-Korba.csv', 'Mizoram-Kolasib.csv', 'Mizoram-Mamit.csv']"
30-1-2021,"['Chhattisgarh-Korba.csv', 'Mizoram-Kolasib.csv', 'Chhattisgarh-Dhamtari.csv', 'Mizoram-Mamit.csv']"
31-1-2021,"['Chhattisgarh-Narayanpur.csv', 'Mizoram-Serchhip.csv', 'Chhattisgarh-Korba.csv', 'Arunachal Pradesh-Anjaw.csv']"
1-2-2021,"['Mizoram-Kolasib.csv', 'Chhattisgarh-Dakshin Bastar Dantewada.csv', 'Mizoram-Mamit.csv']"
2-2-2021,"['Mizoram-Serchhip.csv', 'Himachal Pradesh-Kinnaur.csv', 'Mizoram-Kolasib.csv', 'Chhattisgarh-Dhamtari.csv', 'Mizoram-Mamit.csv']"
3-2-2021,"['Chhattisgarh-Bastar.csv', 'Chhattisgarh-Dakshin Bastar Dantewada.csv', 'Mizoram-Lawngtlai.csv', 'Mizoram-Kolasib.csv', 'Chhattisgarh-Dhamtari.csv', 'Mizoram-Mamit.csv']"
4-2-2021,"['Mizoram-Kolasib.csv', 'Chhattisgarh-Dakshin Bastar Dantewada.csv', 'Puducherry-Mahe.csv', 'Mizoram-Mamit.csv']"
5-2-2021,"['Chhattisgarh-Korba.csv', 'Mizoram-Lawngtlai.csv', 'Mizoram-Kolasib.csv', 'Chhattisgarh-Dhamtari.csv', 'Mizoram-Mamit.csv']"
6-2-2021,"['Mizoram-Saiha.csv', 'Mizoram-Serchhip.csv', 'Chhattisgarh-Narayanpur.csv', 'Chhattisgarh-Korba.csv']"
