District name,Population
Bihar-Saran.csv,3951862
Bihar-Sheikhpura.csv,636342
Bihar-Sheohar.csv,656246
Bihar-Sitamarhi.csv,3423574
Bihar-Siwan.csv,3330464
Bihar-Supaul.csv,2229076
Bihar-Vaishali.csv,3495021
Chandigarh-Chandigarh.csv,1055450
Chhattisgarh-Balrampur.csv,2148665
Chhattisgarh-Bastar.csv,1413199
Chhattisgarh-Bijapur.csv,2177331
Chhattisgarh-Bilaspur.csv,2663629
Chhattisgarh-Dakshin Bastar Dantewada.csv,533638
Chhattisgarh-Dhamtari.csv,799781
Chhattisgarh-Durg.csv,3343872
Chhattisgarh-Jashpur.csv,851669
Chhattisgarh-Kabeerdham.csv,822526
Chhattisgarh-Korba.csv,1206640
Chhattisgarh-Koriya.csv,658917
Chhattisgarh-Mahasamund.csv,1032754
Chhattisgarh-Narayanpur.csv,139820
Chhattisgarh-Raigarh.csv,2634200
Chhattisgarh-Raipur.csv,4063872
Chhattisgarh-Rajnandgaon.csv,1537133
Chhattisgarh-Surguja.csv,2359886
Chhattisgarh-Uttar Bastar Kanker.csv,748941
Dadra and Nagar Haveli and Daman and Diu-Daman.csv,191173
Dadra and Nagar Haveli and Daman and Diu-Diu.csv,52074
Gujarat-Amreli.csv,1514190
Gujarat-Anand.csv,2092745
Gujarat-Bharuch.csv,1551019
Gujarat-Bhavnagar.csv,2880365
Gujarat-Gandhinagar.csv,1391753
Gujarat-Jamnagar.csv,2160119
Gujarat-Junagadh.csv,2743082
Gujarat-Kheda.csv,2299885
Gujarat-Narmada.csv,590297
Gujarat-Navsari.csv,1329672
Gujarat-Patan.csv,1343734
Gujarat-Porbandar.csv,585449
Gujarat-Rajkot.csv,3804558
Gujarat-Surat.csv,6081322
Gujarat-Surendranagar.csv,1756268
Gujarat-Tapi.csv,807022
Gujarat-Vadodara.csv,4165626
Gujarat-Valsad.csv,1705678
Haryana-Ambala.csv,1128350
Haryana-Bhiwani.csv,1634445
Haryana-Faridabad.csv,1809733
Haryana-Fatehabad.csv,942011
Haryana-Hisar.csv,1743931
Haryana-Jhajjar.csv,958405
Haryana-Jind.csv,1334152
Haryana-Kaithal.csv,1074304
Haryana-Karnal.csv,1505324
Haryana-Kurukshetra.csv,964655
Haryana-Mahendragarh.csv,922088
Haryana-Palwal.csv,1042708
Haryana-Panchkula.csv,561293
Haryana-Panipat.csv,1205437
Haryana-Rewari.csv,900332
Haryana-Rohtak.csv,1061204
Haryana-Sirsa.csv,1295189
Haryana-Sonipat.csv,1450001
Haryana-Yamunanagar.csv,1214205
Himachal Pradesh-Bilaspur.csv,2663629
Himachal Pradesh-Chamba.csv,519080
Himachal Pradesh-Hamirpur.csv,1104285
Himachal Pradesh-Kangra.csv,1510075
Himachal Pradesh-Kinnaur.csv,84121
Himachal Pradesh-Kullu.csv,437903
Himachal Pradesh-Mandi.csv,999777
Himachal Pradesh-Shimla.csv,814010
Himachal Pradesh-Sirmaur.csv,529855
Himachal Pradesh-Solan.csv,580320
Himachal Pradesh-Una.csv,521173
Jammu and Kashmir-Anantnag.csv,1078692
Jammu and Kashmir-Doda.csv,409936
Jammu and Kashmir-Ganderbal.csv,297446
Jammu and Kashmir-Jammu.csv,1529958
Jammu and Kashmir-Kathua.csv,616435
